Scheme Name,Category,Min Investment (₹),Risk Level,1Y Returns (%),3Y Returns (%),5Y Returns (%),Expense Ratio (%),AUM (Cr),Investment Type,Scheme Type,ISIN,SIP Available
HDFC Money Market Fund - Direct (G),Money Market Fund,100,Moderate,7.82,6.88,6.19,0.23,27366.37,Growth,Active Fund,INF179KB1HU9,Yes
Bandhan Money Manager Fund - Direct (G),Money Market Fund,100,Moderately Low,7.82,6.81,5.91,0.1,10624.49,Growth,Active Fund,INF194K01M80,Yes
HSBC Arbitrage Fund - Direct (G),Arbitrage Fund,5000,Low,7.82,6.91,6.03,0.26,2225.37,Growth,Active Fund,INF917K01QR5,Yes
UTI-Ultra Short Duration Fund - Direct (G),Ultra Short Duration Fund,500,Moderate,7.81,6.77,6.59,0.33,3448.0,Growth,Active Fund,INF789F01TI1,Yes
UTI-Money Market Fund - Direct (G),Money Market Fund,500,Moderate,7.81,6.91,6.08,0.15,17809.8,Growth,Active Fund,INF789F01XV6,Yes
Union Dynamic Bond Fund - Direct (G),Dynamic Bond,1000,Moderate,7.81,5.8,5.37,1.24,79.4,Growth,Active Fund,INF582M01799,Yes
ICICI Pru Money Market Fund - Direct (G),Money Market Fund,500,Moderately Low,7.8,6.86,6.08,0.21,27651.78,Growth,Active Fund,INF109K01R14,Yes
Mahindra Manulife Ultra Short Duration Fund-Dir (G),Ultra Short Duration Fund,1000,Moderately Low,7.8,6.78,5.98,0.27,229.86,Growth,Active Fund,INF174V01887,Yes
Franklin India Money Market Fund - Direct (G),Money Market Fund,10000,Moderately Low,7.8,6.76,5.97,0.14,2547.83,Growth,Active Fund,INF090I01GV8,Yes
DSP Low Duration Fund - Direct (G),Low Duration Fund,100,Moderately Low,7.79,6.63,5.99,0.3,5166.83,Growth,Active Fund,INF740K013Q1,Yes
JM Low Duration Fund - Direct (G),Low Duration Fund,1000,Moderately Low,7.78,6.6,9.62,0.35,228.84,Growth,Active Fund,INF192K01DW3,Yes
Nippon India Nifty AAA PSU Bond Plus SDL-Sep2026 Maturity 50:50 IF-Dir (G),Index Fund,1000,Moderately Low,7.78,,,0.2,446.05,Growth,Passive Fund,INF204KC1683,Yes
Bajaj Finserv Money Market Fund - Direct (G),Money Market Fund,1000,Moderately Low,7.78,,,0.1,2992.3,Growth,Active Fund,INF0QA701334,Yes
SBI Savings Fund - Direct (G),Money Market Fund,500,Moderate,7.78,6.83,6.05,0.25,27466.82,Growth,Active Fund,INF200K01SZ5,Yes
ITI Banking and PSU Debt Fund - Direct (G),Banking and PSU Fund,5000,Moderately Low,7.77,6.77,,0.15,30.73,Growth,Active Fund,INF00XX01861,Yes
Baroda BNP Paribas Equity Savings Fund - Direct (G),Equity Savings,5000,Moderately High,7.77,9.66,9.41,1.31,249.48,Growth,Active Fund,INF955L01IL3,Yes
HDFC Ultra Short Term Fund - Direct (G),Ultra Short Duration Fund,100,Moderate,7.77,6.76,6.1,0.37,14735.24,Growth,Active Fund,INF179KB15Q6,Yes
Invesco India Ultra Short Duration Fund-Dir (G),Ultra Short Duration Fund,1000,Moderately Low,7.76,6.75,5.87,0.24,1390.94,Growth,Active Fund,INF205K01TH0,Yes
HSBC Money Market Fund - Direct (G),Money Market Fund,5000,Moderately Low,7.75,6.67,5.77,0.2,2456.27,Growth,Active Fund,INF917K01FE6,Yes
Mirae Asset Nifty AAA PSU Bond Plus SDL Apr 2026 50:50 Index Fund-Dir (G),Index Fund,5000,Moderate,7.75,,,0.14,94.14,Growth,Passive Fund,INF769K01JD5,No
Sundaram Balanced Advantage Fund - Direct (G),Dynamic Asset Allocation or Balanced Advantage,100,High,7.75,11.54,11.2,0.7,1495.91,Growth,Active Fund,INF173K01FI7,Yes
Sundaram Ultra Short Duration Fund - Direct (G),Ultra Short Duration Fund,1000,Moderately Low,7.74,6.83,5.71,0.23,2147.14,Growth,Active Fund,INF173K01HI3,Yes
Mirae Asset Aggressive Hybrid Fund - Direct (G),Aggressive Hybrid Fund,5000,Very High,7.74,12.05,14.69,0.4,8685.12,Growth,Active Fund,INF769K01DH9,Yes
Franklin India Dynamic Asset Allocation FoFs-Dir-G,FoFs Domestic,5000,Moderately High,7.74,13.75,13.53,0.52,1270.93,Growth,Active Fund,INF090I01HV6,Yes
Bandhan Asset Allocation FoF - Aggressive-Direct (G),FoFs Domestic,1000,High,7.74,11.72,12.46,0.48,18.81,Growth,Active Fund,INF194K012B6,Yes
Edelweiss Money Market Fund - Direct (G),Money Market Fund,100,Moderately Low,7.73,6.52,5.76,0.15,1368.77,Growth,Active Fund,INF843K01CE1,Yes
UTI-Low Duration Fund - Direct (G),Low Duration Fund,500,Moderately Low,7.72,6.66,7.15,0.38,3347.64,Growth,Active Fund,INF789F01XI3,Yes
Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50:50 IF-Dir (G),Index Fund,100,Moderate,7.71,5.83,,0.2,7847.97,Growth,Passive Fund,INF754K01MD1,Yes
TRUSTMF Corporate Bond Fund - Direct (G),Corporate Bond Fund,1000,Moderate,7.71,,,0.25,70.81,Growth,Active Fund,INF0GCD01560,Yes
Invesco India Low Duration Fund-Dir (G),Low Duration Fund,1000,Moderately Low,7.71,6.55,6.05,0.32,1672.95,Growth,Active Fund,INF205K01NY8,Yes
LIC MF Arbitrage Fund - Direct (G),Arbitrage Fund,5000,Low,7.71,6.79,5.7,0.34,353.27,Growth,Active Fund,INF767K01PP0,Yes
DSP Ultra Short Fund - Direct (G),Ultra Short Duration Fund,100,Moderately Low,7.71,6.79,5.81,0.3,3049.97,Growth,Active Fund,INF740K01ON5,Yes
LIC MF Ultra Short Duration Fund - Dir (G),Ultra Short Duration Fund,5000,Low,7.69,6.48,5.63,0.25,361.35,Growth,Active Fund,INF767K01QU8,Yes
HSBC Ultra Short Duration Fund - Dir (G),Ultra Short Duration Fund,5000,Moderately Low,7.69,6.72,5.85,0.21,2625.45,Growth,Active Fund,INF336L01OR1,Yes
Aditya Birla SL Crisil IBX 60:40 SDL + AAA PSU Apr 2026 IF-Dir (G),Index Fund,500,Moderate,7.69,,,0.2,53.2,Growth,Passive Fund,INF209KB10P4,Yes
Canara Robeco Savings Fund - Direct (G),Low Duration Fund,5000,Moderately Low,7.68,6.56,5.83,0.32,799.83,Growth,Active Fund,INF760K01ET1,Yes
Kotak Savings Fund - Direct (G),Ultra Short Duration Fund,100,Moderate,7.68,6.74,5.96,0.37,13150.62,Growth,Active Fund,INF174K01JP2,Yes
HDFC Retirement Savings Fund-Hybrid Debt-Dir (G),Retirement Fund,100,Moderately High,7.68,9.14,9.17,1.02,158.67,Growth,Active Fund,INF179KB1MJ2,Yes
JM Arbitrage Fund - Direct (G),Arbitrage Fund,1000,Low,7.67,6.76,5.25,0.39,209.87,Growth,Active Fund,INF192K01BN6,Yes
Sundaram Arbitrage Fund - Direct (G),Arbitrage Fund,100,Moderately Low,7.67,6.66,5.02,0.27,215.76,Growth,Active Fund,INF173K01NF7,Yes
Baroda BNP Paribas Ultra Short Duration Fund-Dir (G),Ultra Short Duration Fund,5000,Moderately Low,7.67,6.82,5.85,0.3,1552.86,Growth,Active Fund,INF955L01HA8,Yes
Navi Nifty Bank Index Fund - Direct (G),Index Fund,100,Very High,7.66,10.54,,0.1,519.74,Growth,Passive Fund,INF959L01FT4,Yes
Mirae Asset Balanced Advantage Fund - Dir (G),Dynamic Asset Allocation or Balanced Advantage,5000,Moderately High,7.66,,,0.74,1750.9,Growth,Active Fund,INF769K01IN6,Yes
PGIM India Arbitrage Fund - Direct (G),Arbitrage Fund,5000,Low,7.65,6.66,5.7,0.35,85.35,Growth,Active Fund,INF223J013N7,Yes
Bandhan Low Duration Fund - Direct (G),Low Duration Fund,100,Moderately Low,7.65,6.49,5.94,0.34,5494.25,Growth,Active Fund,INF194K01J77,Yes
SBI Magnum Ultra Short Duration Fund-Dir (G),Ultra Short Duration Fund,5000,Moderately Low,7.65,6.63,5.82,0.33,12091.16,Growth,Active Fund,INF200K01TF5,Yes
Bandhan Retirement Fund - Direct (G),Retirement Fund,1000,Very High,7.64,,,0.72,170.96,Growth,Active Fund,INF194KB1GU2,Yes
AXIS Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF FOF-Dir (G),FoFs Domestic,5000,Moderate,7.64,5.68,,0.08,275.37,Growth,Active Fund,INF846K017C5,Yes
ICICI Pru Nifty Bank Index Fund - Direct (G),Index Fund,1000,Very High,7.64,,,0.2,522.06,Growth,Passive Fund,INF109KC11A4,Yes
Parag Parikh Arbitrage Fund - Direct (G),Arbitrage Fund,1000,Low,7.63,,,0.3,1204.44,Growth,Active Fund,INF879O01225,Yes
Sundaram Large and Mid Cap Fund - Direct (G),Large & Mid Cap Fund,100,Very High,7.63,13.89,16.14,0.88,6470.35,Growth,Active Fund,INF903J01PR9,Yes
Sundaram Money Market Fund - Direct (G),Money Market Fund,1000,Low,7.62,6.65,5.64,0.16,573.85,Growth,Active Fund,INF903JA1FR6,Yes
Bandhan Ultra Short Term Fund - Dir (G),Ultra Short Duration Fund,100,Moderately Low,7.62,6.62,5.74,0.27,3881.1,Growth,Active Fund,INF194KA16R3,Yes
AXIS Crisil IBX 70:30 CPSE Plus SDL April 2025 Index Fund - Dir (G),Index Fund,5000,Moderate,7.61,5.63,,0.16,458.92,Growth,Passive Fund,INF846K015F2,Yes
Bank of India Arbitrage Fund - Direct (G),Arbitrage Fund,5000,Low,7.61,6.14,4.97,0.21,43.6,Growth,Active Fund,INF761K01ED3,Yes
Edelweiss Large Cap Fund - Direct (G),Large Cap Fund,100,Very High,7.61,15.28,16.53,0.61,1108.38,Growth,Active Fund,INF754K01BW4,Yes
Motilal Oswal Nifty Bank Index Fund - Direct (G),Index Fund,500,Very High,7.6,10.62,9.97,0.33,585.68,Growth,Passive Fund,INF247L01890,Yes
Invesco India Money Market Fund - Direct (G),Money Market Fund,1000,Moderately Low,7.59,6.54,5.85,0.22,5681.77,Growth,Active Fund,INF205K01RY9,Yes
ICICI Pru Bharat Consumption Fund - Dir (G),Sectoral / Thematic,5000,Very High,7.59,19.03,17.36,1.08,3114.99,Growth,Active Fund,INF109KC1YD4,Yes
DSP Savings Fund - Direct (G),Money Market Fund,100,Moderate,7.59,6.57,5.85,0.25,4030.03,Growth,Active Fund,INF740K01NU2,Yes
Baroda BNP Paribas Money Market Fund - Direct (G),Money Market Fund,5000,Moderately Low,7.59,6.47,5.34,0.23,543.27,Growth,Active Fund,INF955L01ID0,Yes
Nippon India Equity Hybrid Fund - Direct (G),Aggressive Hybrid Fund,500,High,7.58,14.53,12.92,1.12,3712.19,Growth,Active Fund,INF204K01B08,Yes
Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund - Dir (G),Index Fund,100,Moderately Low,7.57,,,0.21,810.28,Growth,Passive Fund,INF754K01OG0,Yes
PGIM India Ultra Short Duration Fund-Dir (G),Ultra Short Duration Fund,5000,Moderately Low,7.57,6.7,5.92,0.31,197.09,Growth,Active Fund,INF223J01QO7,Yes
AXIS Focused Fund - Direct (G),Focused Fund,100,Very High,7.57,6.41,9.93,0.81,12349.87,Growth,Active Fund,INF846K01CQ8,Yes
Kotak Credit Risk Fund - Direct (G),Credit Risk Fund,100,High,7.56,5.88,6.08,0.79,734.47,Growth,Active Fund,INF174K01LZ7,Yes
TRUSTMF Money Market Fund - Direct (G),Money Market Fund,1000,Moderately Low,7.56,,,0.16,84.25,Growth,Active Fund,INF0GCD01503,Yes
HDFC Hybrid Debt Fund - Direct (G),Conservative Hybrid Fund,100,Moderately High,7.56,10.24,10.77,1.21,3292.9,Growth,Active Fund,INF179K01XE6,Yes
HSBC Banking and PSU Debt Fund - Direct (G),Banking and PSU Fund,5000,Moderate,7.54,5.48,5.82,0.23,4128.58,Growth,Active Fund,INF917K01HH5,Yes
Tata CRISIL-IBX Gilt Index-Apr 2026 Index Fund-Dir (G),Index Fund,5000,Moderately Low,7.54,,,0.13,966.25,Growth,Passive Fund,INF277KA1554,Yes
SBI Retirement Benefit Fund-Conservative P-Dir(G),Retirement Fund,5000,Moderately High,7.54,8.71,,0.93,174.71,Growth,Active Fund,INF200KA1T39,Yes
Edelweiss Liquid Fund - Direct (G),Liquid Fund,100,Moderate,7.53,6.67,5.53,0.09,6578.96,Growth,Active Fund,INF754K01GM4,Yes
Aditya Birla SL Nifty SDL Sep 2025 Index Fund-Dir (G),Index Fund,500,Moderately Low,7.52,,,0.19,66.68,Growth,Passive Fund,INF209KB10M1,Yes
Bajaj Finserv Arbitrage Fund - Direct (G),Arbitrage Fund,500,Low,7.52,,,0.25,951.38,Growth,Active Fund,INF0QA701524,Yes
Bandhan Bond Fund - Income Plan - Dir (G),Medium to Long Duration Fund,1000,Moderate,7.51,5.46,5.66,1.32,484.01,Growth,Active Fund,INF194K01R51,Yes
PGIM India Money Market Fund - Direct (G),Money Market Fund,5000,Moderately Low,7.51,6.8,,0.2,181.11,Growth,Active Fund,INF663L01T84,Yes
Canara Robeco Dynamic Bond Fund - Direct (G),Dynamic Bond,5000,Moderate,7.5,6.49,6.05,0.63,124.43,Growth,Active Fund,INF760K01EC7,Yes
ITI Small Cap Fund - Direct (G),Small Cap Fund,5000,Very High,7.49,22.46,,0.5,2253.76,Growth,Active Fund,INF00XX01747,Yes
Bandhan Crisil IBX Gilt April 2026 Index Fund-Dir (G),Index Fund,1000,Moderately Low,7.49,,,0.16,442.32,Growth,Passive Fund,INF194KB1EH4,Yes
Aditya Birla SL Liquid Fund - Direct (G),Liquid Fund,500,Moderate,7.48,6.69,5.52,0.21,49810.19,Growth,Active Fund,INF209K01VA3,Yes
DSP Liquidity Fund - Direct (G),Liquid Fund,100,Moderate,7.48,6.64,5.45,0.1,21927.12,Growth,Active Fund,INF740K01QL4,Yes
Bajaj Finserv Liquid Fund - Direct (G),Liquid Fund,100,Moderately Low,7.48,,,0.1,4234.72,Growth,Active Fund,INF0QA701011,Yes
AXIS Liquid Fund - Direct (G),Liquid Fund,500,Moderately Low,7.47,6.67,5.49,0.09,43033.62,Growth,Active Fund,INF846K01CX4,Yes
Mahindra Manulife Liquid Fund - Direct (G),Liquid Fund,1000,Moderate,7.47,6.69,5.52,0.15,1227.25,Growth,Active Fund,INF174V01044,No
Sundaram Liquid Fund - Direct (G),Liquid Fund,1000,Moderate,7.47,6.66,5.37,0.13,6042.81,Growth,Active Fund,INF173K01GU0,Yes
Union Money Market Fund - Direct (G),Money Market Fund,5000,Moderately Low,7.47,6.56,,0.2,175.97,Growth,Active Fund,INF582M01HG5,Yes
Aditya Birla SL CRISIL IBX Gilt-Apr 2026 IF-Dir (G),Index Fund,500,Moderately Low,7.47,,,0.2,289.36,Growth,Passive Fund,INF209KB10N9,Yes
Groww Liquid Fund - Direct (G),Liquid Fund,500,Moderately Low,7.47,6.5,5.28,0.1,179.98,Growth,Active Fund,INF666M01451,Yes
Mirae Asset Liquid Fund - Direct (G),Liquid Fund,5000,Moderate,7.46,6.66,5.48,0.09,13882.43,Growth,Active Fund,INF769K01CM1,Yes
NJ Arbitrage Fund - Direct (G),Arbitrage Fund,5000,Low,7.46,,,0.27,304.06,Growth,Active Fund,INF0J8L01065,Yes
Union Liquid Fund - Direct (G),Liquid Fund,5000,Moderately Low,7.45,6.67,5.51,0.07,4740.94,Growth,Active Fund,INF582M01674,Yes
WhiteOak Capital Ultra Short Duration Fund-Dir (G),Ultra Short Duration Fund,500,Low,7.45,6.52,5.58,0.51,362.54,Growth,Active Fund,INF03VN01209,Yes
PGIM India Liquid Fund - Dir (G),Liquid Fund,5000,Moderately Low,7.45,6.67,5.49,0.12,423.85,Growth,Active Fund,INF223J01NS5,Yes
ITI Ultra Short Duration Fund - Dir (G),Ultra Short Duration Fund,5000,Moderately Low,7.45,6.58,,0.14,317.43,Growth,Active Fund,INF00XX01AE2,Yes
Bank of India Liquid Fund - Direct (G),Liquid Fund,5000,Moderately Low,7.45,6.67,5.47,0.1,1855.08,Growth,Active Fund,INF761K01785,No
Franklin India Liquid Fund - Direct (G),Liquid Fund,10000,Moderately Low,7.45,6.62,5.47,0.13,2075.27,Growth,Active Fund,INF090I01JV2,Yes
Nippon India Liquid Fund - Direct (G),Liquid Fund,1000,Moderately Low,7.45,6.65,5.48,0.2,31095.5,Growth,Active Fund,INF204K01ZH0,Yes
ICICI Pru Liquid Fund - Direct (G),Liquid Fund,99,Moderate,7.44,6.62,5.47,0.2,56989.32,Growth,Active Fund,INF109K01Q49,Yes
HSBC Liquid Fund - Direct (G),Liquid Fund,5000,Moderately Low,7.44,6.66,5.43,0.12,22670.08,Growth,Active Fund,INF336L01CC8,Yes
Tata Liquid Fund - Direct (G),Liquid Fund,5000,Moderately Low,7.44,6.62,5.48,0.2,23490.59,Growth,Active Fund,INF277K01YE6,Yes
Canara Robeco Liquid Fund - Direct (G),Liquid Fund,5000,Moderately Low,7.44,6.64,5.33,0.12,5184.26,Growth,Active Fund,INF760K01FU6,Yes
Invesco India Liquid Fund - Direct (G),Liquid Fund,1000,Moderately Low,7.43,6.62,5.42,0.15,13265.07,Growth,Active Fund,INF205K01MF9,Yes
Bandhan Liquid Fund - Direct (G),Liquid Fund,100,Moderately Low,7.43,6.64,5.41,0.12,15403.23,Growth,Active Fund,INF194K01I60,Yes
LIC MF Liquid Fund - Direct (G),Liquid Fund,5000,Moderately Low,7.43,6.62,5.48,0.16,12286.53,Growth,Active Fund,INF767K01DN1,Yes
Baroda BNP Paribas Liquid Fund - Dir (G),Liquid Fund,5000,Moderately Low,7.43,6.66,5.48,0.17,11399.04,Growth,Active Fund,INF955L01AL0,Yes
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2025 Index Fund-Dir (G),Index Fund,500,Moderately Low,7.43,,,0.2,163.86,Growth,Passive Fund,INF209KB13I3,Yes
UTI-Liquid Fund - Direct (G),Liquid Fund,500,Moderate,7.42,6.65,5.47,0.16,27431.6,Growth,Active Fund,INF789F01XQ6,No
Tata Retirement Savings Fund - Conservat-Dir (G),Retirement Fund,5000,Moderately High,7.41,7.95,8.26,0.96,173.39,Growth,Active Fund,INF277K01QM5,Yes
Kotak Liquid Fund - Direct (G),Liquid Fund,100,Moderate,7.41,6.61,5.42,0.2,37643.85,Growth,Active Fund,INF174K01NE8,No
Canara Robeco ELSS Tax Saver - Direct (G),ELSS,500,Very High,7.41,13.36,17.85,0.58,8375.66,Growth,Active Fund,INF760K01EL8,Yes
Bandhan Infrastructure Fund - Direct (G),Sectoral / Thematic,1000,Very High,7.4,24.42,26.2,0.85,1640.82,Growth,Active Fund,INF194K01X46,Yes
Tata Large Cap Fund - Direct (G),Large Cap Fund,5000,Very High,7.4,13.83,15.71,1.03,2408.42,Growth,Active Fund,INF277K01QZ7,Yes
Canara Robeco Ultra Short Term Fund - Dir (G),Ultra Short Duration Fund,500,Moderately Low,7.4,6.42,5.44,0.4,537.21,Growth,Active Fund,INF760K01GM1,Yes
HDFC Liquid Fund - Direct (G),Liquid Fund,100,Moderately Low,7.4,6.6,5.41,0.2,72211.76,Growth,Active Fund,INF179KB1HP9,Yes
ICICI Pru Passive Strategy Fund (FOF) - Dir (G),FoFs Domestic,5000,Very High,7.39,15.56,16.82,0.18,173.27,Growth,Active Fund,INF109K01W58,Yes
SBI Liquid Fund - Direct (G),Liquid Fund,500,Moderate,7.37,6.59,5.43,0.21,64019.03,Growth,Active Fund,INF200K01UT4,Yes
Quant Liquid Plan - Direct (G),Liquid Fund,5000,Moderately Low,7.37,6.58,5.81,0.25,1546.69,Growth,Active Fund,INF966L01820,Yes
UTI-Floater Fund - Direct (G),Floater Fund,500,Moderately Low,7.37,6.53,6.25,0.43,1445.32,Growth,Active Fund,INF789F1ACX5,Yes
WhiteOak Capital Liquid Fund - Direct (G),Liquid Fund,500,Low,7.37,6.46,5.15,0.2,332.62,Growth,Active Fund,INF03VN01043,Yes
TRUSTMF Liquid Fund - Direct (G),Liquid Fund,1000,Moderately Low,7.36,6.61,,0.1,348.48,Growth,Active Fund,INF0GCD01255,Yes
PGIM India Flexi Cap Fund - Dir (G),Flexi Cap Fund,5000,Very High,7.36,10.18,19.41,0.43,6054.1,Growth,Active Fund,INF663L01FF1,Yes
LIC MF Small Cap Fund - Direct (G),Small Cap Fund,5000,Very High,7.34,18.26,24.47,0.97,491.39,Growth,Active Fund,INF397L01JS1,Yes
JM Liquid Fund - Direct (G),Liquid Fund,1000,Moderately Low,7.33,6.6,5.4,0.15,3220.67,Growth,Active Fund,INF192K01CM6,Yes
Invesco India ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,7.33,13.54,16.27,0.76,2764.17,Growth,Active Fund,INF205K01NT8,Yes
HSBC Flexi Cap Fund - Direct (G),Flexi Cap Fund,5000,Very High,7.31,14.98,17.13,1.16,4680.33,Growth,Active Fund,INF336L01DH5,Yes
Groww Dynamic Bond Fund - Direct (G),Dynamic Bond,500,Moderate,7.27,5.82,5.65,0.45,56.71,Growth,Active Fund,INF666M01EK5,Yes
Aditya Birla SL Retirement-The 50sPlus-Debt-Dir(G),Retirement Fund,1000,Moderate,7.26,5.45,5.27,0.84,16.58,Growth,Active Fund,INF209KB1K03,Yes
Bandhan Large Cap Fund - Direct (G),Large Cap Fund,1000,Very High,7.25,13.65,15.73,0.92,1726.24,Growth,Active Fund,INF194K01Z44,Yes
360 ONE Liquid Fund - Direct (G),Liquid Fund,5000,Moderate,7.25,6.48,5.15,0.2,1023.77,Growth,Active Fund,INF579M01621,Yes
Bank of India Ultra Short Duration Fund - Direct (G),Ultra Short Duration Fund,5000,Moderate,7.24,6.29,5.42,0.34,169.81,Growth,Active Fund,INF761K01892,Yes
Baroda BNP Paribas Large Cap Fund - Direct (G),Large Cap Fund,5000,Very High,7.23,15.46,16.29,0.82,2347.68,Growth,Active Fund,INF251K01HN7,Yes
ICICI Pru Housing Opportunities Fund - Dir (G),Sectoral / Thematic,5000,Very High,7.23,,,1.01,2384.77,Growth,Active Fund,INF109KC10C2,Yes
Bandhan Asset Allocation FoF - Conservative - Dir (G),FoFs Domestic,1000,Moderately High,7.19,7.94,7.74,0.18,5.93,Growth,Active Fund,INF194K016A9,Yes
Canara Robeco Mid Cap Fund - Direct (G),Mid Cap Fund,5000,Very High,7.18,,,0.65,2628.74,Growth,Active Fund,INF760K01KI1,Yes
Mahindra Manulife Business Cycle Fund - Dir (G),Sectoral / Thematic,1000,Very High,7.17,,,0.48,1144.52,Growth,Active Fund,INF174V01BQ4,Yes
Sundaram Medium Duration Fund - Direct (G),Medium Duration Fund,5000,Moderate,7.16,5.17,4.76,1.39,43.84,Growth,Active Fund,INF903J01PO6,Yes
Taurus ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,7.16,17.78,16.47,1.89,76.73,Growth,Active Fund,INF044D01CG6,Yes
PGIM India Equity Savings Fund-Dir (G),Equity Savings,5000,Moderately Low,7.13,7.09,8.28,0.52,69.96,Growth,Active Fund,INF223J01QD0,Yes
HSBC Managed Solutions Moderate Fund - Dir (G),FoFs Domestic,5000,High,7.13,11.45,13.34,0.88,56.81,Growth,Active Fund,INF336L01IJ0,Yes
Sundaram Conservative Hybrid Fund - Dir (G),Conservative Hybrid Fund,5000,Moderate,7.12,7.6,8.71,1.51,27.12,Growth,Active Fund,INF903J01OP6,Yes
ITI Liquid Fund - Direct (G),Liquid Fund,5000,Moderately Low,7.12,6.39,5.08,0.09,80.55,Growth,Active Fund,INF00XX01283,Yes
HDFC Hybrid Equity Fund - Direct (G),Aggressive Hybrid Fund,100,Very High,7.1,12.6,15.28,1.05,23353.84,Growth,Active Fund,INF179K01XZ1,Yes
Aditya Birla SL Midcap Fund - Direct (G),Mid Cap Fund,1000,Very High,7.1,15.57,19.43,1.07,5532.8,Growth,Active Fund,INF209K01Q30,Yes
Quantum Liquid Fund - Direct (G),Liquid Fund,5000,Low,7.1,6.37,5.15,0.16,526.78,Growth,Active Fund,INF082J01127,Yes
Parag Parikh Liquid Fund - Direct (G),Liquid Fund,5000,Moderately Low,7.07,6.27,5.11,0.17,2256.94,Growth,Active Fund,INF879O01068,Yes
Mirae Asset Flexi Cap Fund - Direct (G),Flexi Cap Fund,5000,Very High,7.06,,,0.56,2472.76,Growth,Active Fund,INF769K01JJ2,Yes
Navi Liquid Fund - Direct (G),Liquid Fund,100,Moderate,7.04,6.44,5.27,0.15,69.83,Growth,Active Fund,INF959L01GF1,Yes
Motilal Oswal Liquid Fund - Direct (G),Liquid Fund,500,Moderately Low,7.03,6.25,5.03,0.22,998.01,Growth,Active Fund,INF247L01734,Yes
HDFC Retirement Savings Fund-Hybrid Equity-Dir (G),Retirement Fund,100,Very High,7.02,15.23,16.65,0.92,1551.16,Growth,Active Fund,INF179KB1MH6,Yes
HSBC Value Fund - Direct (G),Value Fund,5000,Very High,7.0,20.69,22.03,0.78,12848.97,Growth,Active Fund,INF917K01HD4,Yes
360 ONE Focused Equity Fund - Direct (G),Focused Fund,1000,Very High,6.99,14.71,18.45,0.61,6885.21,Growth,Active Fund,INF579M01902,Yes
HDFC Banking & Financial Services Fund-Dir (G),Sectoral / Thematic,100,Very High,6.99,14.86,,0.84,3569.52,Growth,Active Fund,INF179KC1BG0,Yes
Baroda BNP Paribas Large & Mid Cap Fund - Direct (G),Large & Mid Cap Fund,5000,Very High,6.97,17.05,,0.83,1445.39,Growth,Active Fund,INF955L01JU2,Yes
Baroda BNP Paribas Balanced Advantage Fund-Dir (G),Dynamic Asset Allocation or Balanced Advantage,5000,Very High,6.95,12.77,15.25,0.77,4078.03,Growth,Active Fund,INF955L01HF7,Yes
ICICI Pru MidCap Fund - Direct (G),Mid Cap Fund,5000,Very High,6.95,18.73,22.08,1.06,5975.14,Growth,Active Fund,INF109K011N7,Yes
Aditya Birla SL Digital India Fund - Direct (G),Sectoral / Thematic,1000,Very High,6.94,10.8,25.35,0.82,5094.54,Growth,Active Fund,INF209K01VF2,Yes
HSBC Midcap Fund - Direct (G),Mid Cap Fund,5000,Very High,6.93,19.83,19.39,0.66,10752.86,Growth,Active Fund,INF917K01FZ1,Yes
SBI Equity Savings Fund - Direct (G),Equity Savings,1000,Moderately High,6.92,9.35,10.61,0.88,5705.2,Growth,Active Fund,INF200KA1DF3,Yes
Mirae Asset Banking&Financial Services Fund-Dir(G),Sectoral / Thematic,5000,Very High,6.89,14.55,,0.62,1735.72,Growth,Active Fund,INF769K01GX9,Yes
HDFC Balanced Advantage Fund - Direct (G),Dynamic Asset Allocation or Balanced Advantage,100,Very High,6.88,20.2,19.88,0.75,94251.41,Growth,Active Fund,INF179K01WA6,Yes
Quant Overnight Fund - Direct (G),Overnight Fund,5000,Low,6.87,,,0.15,117.41,Growth,Active Fund,INF966L01AZ7,Yes
SBI Retirement Benefit Fund-Conser Hyb Plan-Dir(G),Retirement Fund,5000,High,6.86,10.02,,1.18,271.76,Growth,Active Fund,INF200KA1T70,Yes
AXIS Retirement Fund - CP - Direct (G),Retirement Fund,5000,High,6.85,8.52,9.71,0.76,64.51,Growth,Active Fund,INF846K01T69,Yes
Kotak Manufacture in India Fund - Direct (G),Sectoral / Thematic,100,Very High,6.84,,,0.53,2334.85,Growth,Active Fund,INF174KA1IF4,Yes
Kotak International REIT FOF - Direct (G),FoFs Overseas,100,Very High,6.83,0.42,,0.53,52.73,Growth,Active Fund,INF174KA1FO2,Yes
Navi BSE Sensex Index Fund - Direct (G),Index Fund,100,Very High,6.82,,,0.14,15.02,Growth,Passive Fund,INF959L01HK9,Yes
Kotak Equity Savings Fund - Direct (G),Equity Savings,100,Moderately High,6.82,11.36,11.29,0.65,8176.82,Growth,Active Fund,INF174K01D28,Yes
Kotak ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,6.81,15.56,17.65,0.67,5892.76,Growth,Active Fund,INF174K01LI3,Yes
